Skelbimo pavadinimas,Rajonas,Kambarių skaičius,Nuomos kaina,Plotas,Metai
3 kambarių butas Vilniuje,Senamiestyje,3 ,1100€,80.00 ,1970
2 kambarių butas Vilniuje,Bajoruose,2 ,600€,46.00 ,2012
1 kambario butas Vilniuje,Žirmūnuose,1 ,290€,15.00 ,1989
2 kambarių butas Vilniuje,Šiaurės miestelis,2 ,550€,47.00 ,2005
2 kambarių butas Vilniuje,Naujamiestyje,2 ,800€,40.00 ,2023
2 kambarių butas Vilniuje,Pilaitėje,2 ,530€,50.00 ,1990
1 kambario butas Vilnius,Grigiškėse,1 ,270€,18.00 ,1974
1 kambario butas Vilniuje,Visoriuose,1 ,500€,38.73 ,2008
3 kambarių butas Vilniuje,Pašilaičiuose,3 ,1050€,102.00 ,2022
2 kambarių butas Vilniuje,Naujamiestyje,2 ,800€,52.12 ,2021
3 kambarių butas Vilniuje,Senamiestyje,3 ,1250€,102.00 ,1940
4 kambarių butas Vilniuje,Naujamiestyje,4 ,1900€,148.00 ,2012
3 kambarių butas Vilniuje,Senamiestyje,3 ,2000€,72.00 ,2020
1 kambario butas Vilniuje,Naujamiestyje,1 ,330€,19.99 ,1957
1 kambario butas Vilniuje,Karoliniškėse,1 ,319€,32.40 ,1972
1 kambario butas Vilniuje,Antakalnyje,1 ,350€,17.76 ,1966
3 kambarių butas Vilniuje,Šiaurės miestelis,3 ,1000€,75.77 ,2009
2 kambarių butas Vilniuje,Pašilaičiuose,2 ,650€,40.00 ,2007
2 kambarių butas Vilniuje,Karoliniškėse,2 ,700€,66.00 ,2018
3 kambarių butas Vilniuje,Šnipiškėse,3 ,650€,60.00 ,0000
3 kambarių butas Vilniuje,Fabijoniškėse,3 ,440€,62.39 ,1988
3 kambarių butas Vilnius,Vilniuje,3 ,1200€,72.00 ,2012
3 kambarių butas Vilniuje,Antakalnyje,3 ,1200€,72.00 ,2012
2 kambarių butas Vilniuje,Naujamiestyje,2 ,800€,40.00 ,2023
2 kambarių butas Vilniuje,Šnipiškėse,2 ,1300€,65.00 ,2019
2 kambarių butas Vilniuje,Senamiestyje,2 ,900€,60.00 ,2022
3 kambarių butas Vilniuje,Antakalnyje,3 ,1350€,103.00 ,2000
2 kambarių butas Vilniuje,Fabijoniškėse,2 ,550€,60.00 ,2004
3 kambarių butas Vilniuje,Justiniškėse,3 ,650€,82.14 ,2006
1 kambario butas Vilniuje,Viršuliškėse,1 ,320€,37.00 ,1976
2 kambarių butas Vilniuje,Baltupiuose,2 ,720€,52.00 ,2012
2 kambarių butas Vilniuje,Naujamiestyje,2 ,700€,42.00 ,2021
2 kambarių butas Vilniuje,Šnipiškėse,2 ,1000€,51.15 ,2018
1 kambario butas Vilniuje,Žvėryne,1 ,600€,46.00 ,2005
1 kambario butas Vilniuje,Karoliniškėse,1 ,550€,26.00 ,2022
2 kambarių butas Vilniuje,Senamiestyje,2 ,850€,61.00 ,2006
1 kambario butas Vilniuje,Senamiestyje,1 ,300€,16.00 ,1958
2 kambarių butas Vilniuje,Baltupiuose,2 ,720€,37.28 ,2022
4 kambarių butas Vilniuje,Kirtimuose,4 ,200€,67.00 ,0000
3 kambarių butas Vilniuje,Šnipiškėse,3 ,950€,70.00 ,2007
1 kambario butas Vilniuje,Pašilaičiuose,1 ,450€,47.00 ,2008
2 kambarių butas Vilniuje,Šeškinėje,2 ,550€,51.00 ,1980
2 kambarių butas Vilniuje,Fabijoniškėse,2 ,700€,53.53 ,2016
1 kambario butas Vilniuje,Baltupiuose,1 ,550€,31.00 ,2022
1 kambario butas Vilniuje,Žirmūnuose,1 ,600€,30.07 ,1966
1 kambario butas Vilniuje,Fabijoniškėse,1 ,550€,41.00 ,2004
1 kambario butas Vilniuje,Pilaitėje,1 ,400€,40.00 ,1989
2 kambarių butas Vilniuje,Justiniškėse,2 ,600€,40.00 ,2020
3 kambarių butas Vilniuje,Justiniškėse,3 ,650€,100.38 ,1999
3 kambarių butas Vilniuje,Senamiestyje,3 ,1400€,65.00 ,2020
4 kambarių butas Vilniuje,Naujamiestyje,4 ,1600€,101.09 ,1972
1 kambario butas Vilniuje,Žirmūnuose,1 ,500€,33.00 ,1973
1 kambario butas Vilniuje,Karoliniškėse,1 ,400€,34.00 ,1958
3 kambarių butas Vilniuje,Dvarčionyse,3 ,700€,70.00 ,1984
2 kambarių butas Vilniuje,Markučiuose,2 ,850€,50.48 ,2022
2 kambarių butas Vilniuje,Naujamiestyje,2 ,750€,50.00 ,2021
1 kambario butas Vilniuje,Baltupiuose,1 ,420€,15.50 ,1979
1 kambario butas Vilniuje,Žirmūnuose,1 ,350€,22.00 ,1979
1 kambario butas Vilniuje,Vilkpėdėje,1 ,300€,20.00 ,1963
2 kambarių butas Vilniuje,Senamiestyje,2 ,800€,79.44 ,1940
3 kambarių butas Vilniuje,Pašilaičiuose,3 ,1150€,88.78 ,2002
2 kambarių butas Vilniuje,Vilkpėdėje,2 ,450€,60.00 ,1995
2 kambarių butas Vilniuje,Senamiestyje,2 ,550€,47.00 ,1940
3 kambarių butas Vilniuje,Žirmūnuose,3 ,800€,83.06 ,1959
2 kambarių butas Vilniuje,Lazdynuose,2 ,500€,53.00 ,1974
1 kambario butas Vilniuje,Markučiuose,1 ,250€,15.00 ,1985
1 kambario butas Vilniuje,Fabijoniškėse,1 ,550€,34.14 ,2017
2 kambarių butas Vilniuje,Šnipiškėse,2 ,1950€,145.72 ,2004
2 kambarių butas Vilniuje,Karoliniškėse,2 ,700€,38.00 ,2022
2 kambarių butas Vilniuje,Užupyje,2 ,1000€,46.30 ,2020
3 kambarių butas Vilniuje,Šnipiškėse,3 ,600€,68.00 ,0000
3 kambarių butas Vilniuje,Šnipiškėse,3 ,2700€,142.00 ,2022
2 kambarių butas Vilniuje,Karoliniškėse,2 ,500€,43.00 ,2004
3 kambarių butas Vilniuje,Užupyje,3 ,1900€,82.00 ,2018
4 kambarių butas Vilniuje,Naujamiestyje,4 ,1600€,100.00 ,1972
1 kambario butas Vilniuje,Naujamiestyje,1 ,320€,14.00 ,2016
3 kambarių butas Vilniuje,Justiniškėse,3 ,600€,66.00 ,1985
2 kambarių butas Vilniuje,Pašilaičiuose,2 ,650€,61.00 ,2002
2 kambarių butas Vilniuje,Šnipiškėse,2 ,690€,34.75 ,2022
2 kambarių butas Vilniuje,Naujamiestyje,2 ,830€,55.93 ,2021
3 kambarių butas Vilniuje,Naujamiestyje,3 ,830€,55.93 ,2021
2 kambarių butas Vilniuje,Šnipiškėse,2 ,990€,82.88 ,2004
1 kambario butas Vilniuje,Jeruzalėje,1 ,390€,36.00 ,1991
1 kambario butas Vilniuje,Pilaitėje,1 ,600€,39.00 ,2009
1 kambario butas Vilniuje,Naujamiestyje,1 ,530€,45.00 ,2009
3 kambarių butas Vilniuje,Užupyje,3 ,1300€,79.00 ,2019
